epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.692,0.68582,4.13702,1.06175,0.08229,1,0.26313,0.24855,0.25485,4.34487,0.84697,7.644e-05,7.644e-05,7.644e-05
2,58.5111,0.61191,3.47954,1.07249,0.03717,1,0.29377,0.27627,0.32096,4.13159,0.85218,0.000158236,0.000158236,0.000158236
3,87.7614,0.65405,2.98809,1.08991,0.59479,0.28561,0.39857,0.37247,0.3671,3.87996,0.87779,0.000239489,0.000239489,0.000239489
4,117.305,0.65893,2.60238,1.09666,0.72633,0.17754,0.45016,0.42274,0.34652,3.79399,0.87294,0.000320198,0.000320198,0.000320198
5,148.562,0.63968,2.38014,1.06585,0.75122,0.42615,0.6106,0.55533,0.41946,3.32873,0.89397,0.000400364,0.000400364,0.000400364
6,178.509,0.69468,2.26291,1.17734,0.70308,0.73005,0.72002,0.66512,0.40357,2.80421,0.91813,0.000479987,0.000479987,0.000479987
7,208.566,0.66028,2.06254,1.08287,0.58764,0.77667,0.78631,0.69154,0.48112,2.64199,0.99472,0.000559067,0.000559067,0.000559067
8,238.4,0.62577,1.99325,1.06833,0.74598,0.67519,0.68028,0.61008,0.45055,2.87886,0.9371,0.000574417,0.000574417,0.000574417
9,268.521,0.73176,1.98295,1.2298,0.80469,0.81264,0.83597,0.74639,0.44256,2.39018,0.97725,0.000572477,0.000572477,0.000572477
10,299.682,0.60104,1.7433,1.04313,0.61476,0.77709,0.74198,0.66755,0.45422,2.76519,0.96154,0.000570536,0.000570536,0.000570536
11,329.275,0.65144,1.85845,1.07738,0.79963,0.68044,0.84988,0.75884,0.46724,2.43599,0.98793,0.000568596,0.000568596,0.000568596
12,358.785,0.65355,1.64434,1.06,0.78562,0.59472,0.77047,0.68843,0.49615,2.75433,0.97028,0.000566656,0.000566656,0.000566656
13,388.879,0.64367,1.5408,1.06969,0.72745,0.69261,0.85431,0.743,0.59932,2.87525,1.07396,0.000564715,0.000564715,0.000564715
14,417.908,0.61229,1.40781,1.08614,0.87817,0.79276,0.92045,0.80482,0.56424,2.48315,1.01618,0.000562775,0.000562775,0.000562775
15,446.928,0.61177,1.47558,1.01793,0.94621,0.79818,0.92272,0.84589,0.45203,2.14792,0.9706,0.000560834,0.000560834,0.000560834
16,476.448,0.64318,1.49919,1.10209,0.791,0.92502,0.94184,0.87509,0.4307,1.87133,0.98343,0.000558894,0.000558894,0.000558894
